Processing Die Size,143 mm2,143 mm2,131 mm2,131 mm2,131 mm2,112 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,143 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,286 mm2,107 mm2,214 mm2,214 mm2,214 mm2,214 mm2,214 mm2,214 mm2,214 mm2,214 mm2,107 mm2,214 mm2,214 mm2,164 mm2,214 mm2,214 mm2,214 mm2,107 mm2,214 mm2,164 mm2,214 mm2,503 mm2,503 mm2,503 mm2,503 mm2,,,,,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,263 mm2,214 mm2,,,214 mm2,263 mm2,263 mm2,263 mm2,296 mm2,296 mm2,296 mm2,296 mm2,296 mm2,296 mm2,81 mm2,,,,,,,,,,,,296 mm2,,,,,,,
# of Processing Die Transistors,291 million,291 million,55 million,55 million,55 million,125 million,582 million,582 million,582 million,582 million,582 million,582 million,582 million,582 million,582 million,291 million,582 million,582 million,582 million,582 million,582 million,582 million,582 million,410 million,820 million,820 million,820 million,820 million,820 million,820 million,820 million,820 million,410 million,820 million,820 million,456 million,820 million,820 million,820 million,410 million,820 million,456 million,820 million,1900 million,1900 million,1900 million,1900 million,,,,,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,731 million,820 million,,,820 million,731 million,731 million,731 million,774 million,774 million,774 million,774 million,774 million,774 million,382 million,,,,,,,,,,,,774 million,,,,,,,
Max CPU Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,2,2,2,2,2,1,1,1,1,1,1,2,2,,2,2,,1,,,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,,2,2,2

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,No,No
Intel® Hyper-Threading Technology ‡,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® VT-x with Extended Page Tables (EPT) ‡,No,No,,,,,No,No,No,,,No,No,No,No,,No,,,,,,,,No,No,No,No,No,No,No,No,,No,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 64 ‡,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,32-bit,32-bit,32-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Idle States,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Demand Based Switching,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thermal Monitoring Technologies,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,No,,,,,,,,,No,No,No,No,No,No,,,,,,,No,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Instruction Set Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,,,,,,,Intel® SSE4.2,,,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2

Security & Reliability
Intel® Trusted Execution Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® AES New Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,No,No,No,No,No,No,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Memory Specifications
Physical Address Extensions,,32-bit,,,,,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,40-bit,40-bit,,40-bit,40-bit,,36-bit,40-bit,40-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,40-bit,36-bit,36-bit,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,36-bit,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit,40-bit
ECC Memory Supported   ‡,,No,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Max Memory Size (dependent on memory type),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144 GB,144 GB,144 GB,144 GB,144 GB,144 GB,144 GB,144 GB,144 GB,144 GB,24 GB,24 GB,24 GB,24 GB,24 GB,24 GB,144 GB,144 GB,,144 GB,144 GB,,24 GB,144 GB,144 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,16.38 GB,288 GB,24 GB,24 GB,288 GB,288 GB,288 GB,288 GB,288 GB,288 GB,288 GB,288 GB,32 GB,288 GB,288 GB,288 GB,288 GB,288 GB,288 GB,288 GB
Memory Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR3 800,DDR3 800,DDR3 800,DDR3 800,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066,,DDR3 800,DDR3 800,,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066/1333,DDR3 800/1066,DDR3 800/1066,DDR3 800/1066
Max # of Memory Channels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
Max Memory Bandwidth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2 GB/s,19.2 GB/s,19.2 GB/s,19.2 GB/s,25.6 GB/s,25.6 GB/s,32 GB/s,32 GB/s,32 GB/s,32 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,32 GB/s,32 GB/s,25.6 GB/s,25.6 GB/s,,19.2 GB/s,19.2 GB/s,,25.6 GB/s,32 GB/s,25.6 GB/s,21 GB/s,21 GB/s,21 GB/s,21 GB/s,21 GB/s,21 GB/s,17 GB/s,32 GB/s,32 GB/s,25.6 GB/s,32 GB/s,32 GB/s,32 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,32 GB/s,25.6 GB/s,21 GB/s,32 GB/s,32 GB/s,32 GB/s,32 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s

CPU Specifications
# of Cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,,4,4,4,4,4,4,4,4,4,2,6,6,6,6,6,6,4,4,4,6,4,4,6,6,6,6,4,4,4
Total Threads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,4,4,,8,8,8,4,8,8,8,8,8,4,12,12,12,12,12,12,8,8,8,12,8,8,12,12,12,12,4,4,4
Processor Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86 GHz,2.00 GHz,2.13 GHz,2.26 GHz,2.40 GHz,2.53 GHz,2.66 GHz,2.80 GHz,2.93 GHz,3.20 GHz,2.66 GHz,2.93 GHz,3.06 GHz,3.20 GHz,3.20 GHz,3.33 GHz,2.26 GHz,2.26 GHz,,2.00 GHz,2.13 GHz,,2.80 GHz,3.33 GHz,2.40 GHz,2.40 GHz,2.53 GHz,2.66 GHz,2.80 GHz,2.93 GHz,1.86 GHz,2.26 GHz,3.33 GHz,3.33 GHz,3.20 GHz,2.93 GHz,2.80 GHz,2.66 GHz,2.66 GHz,2.53 GHz,2.40 GHz,2.26 GHz,2.13 GHz,3.06 GHz,2.40 GHz,3.46 GHz,3.06 GHz,2.53 GHz,2.26 GHz,2.13 GHz,1.60 GHz
Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache
Bus Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8 GT/s,4.8 GT/s,4.8 GT/s,4.8 GT/s,5.86 GT/s,5.86 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,4.8 GT/s,4.8 GT/s,4.8 GT/s,4.8 GT/s,6.4 GT/s,6.4 GT/s,5.86 GT/s,5.86 GT/s,,4.8 GT/s,4.8 GT/s,,4.8 GT/s,6.4 GT/s,5.86 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,6.4 GT/s,6.4 GT/s,4.8 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,5.86 GT/s,5.86 GT/s,5.86 GT/s,5.86 GT/s,5.86 GT/s,2.5 GT/s,5.86 GT/s,6.4 GT/s,6.4 GT/s,5.86 GT/s,4.8 GT/s,4.8 GT/s,4.8 GT/s
# of QPI Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,,2,2,,1,2,2,,,,,,,,2,1,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2
TDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 W,80 W,80 W,80 W,80 W,80 W,95 W,95 W,95 W,130 W,130 W,130 W,130 W,130 W,130 W,130 W,80 W,60 W,,80 W,60 W,,130 W,130 W,60 W,95 W,95 W,95 W,95 W,95 W,45 W,30 W,130 W,130 W,130 W,95 W,95 W,95 W,80 W,80 W,80 W,60 W,40 W,95 W,80 W,130 W,95 W,80 W,80 W,80 W,80 W
Max Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66 GHz,2.80 GHz,3.06 GHz,3.20 GHz,3.33 GHz,3.46 GHz,2.93 GHz,3.20 GHz,3.33 GHz,3.46 GHz,3.46 GHz,3.60 GHz,2.53 GHz,2.48 GHz,,,,,3.06 GHz,3.60 GHz,2.66 GHz,2.80 GHz,2.93 GHz,3.20 GHz,3.46 GHz,3.60 GHz,3.20 GHz,2.53 GHz,3.60 GHz,3.60 GHz,3.46 GHz,3.33 GHz,3.20 GHz,3.06 GHz,2.93 GHz,2.80 GHz,2.66 GHz,2.80 GHz,2.40 GHz,3.73 GHz,2.67 GHz,3.73 GHz,3.46 GHz,2.93 GHz,,,

Expansion Options
PCI Express Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,2.0,,,,,,,
PCI Express Configurations ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4,1x16 |  2x8 |  4x4,1x16 |  2x8,,,,,,,,,,,,1x16 |  2x8 |  4x4,,,,,,,
Max # of PCI Express Lanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,,,,,,,,,,,,16,,,,,,,
