ARK | Intel® Product Specification Comparison
08/24/2023 10:11:37 PM
 ,Intel Atom® x6425RE Processor ,Intel Atom® x6427FE Processor ,Intel Atom® x6414RE Processor ,Intel Atom® x6212RE Processor ,Intel Atom® x6200FE Processor ,Intel Atom® x6211E Processor ,Intel Atom® x6425E Processor ,Intel Atom® x6413E Processor ,Intel Atom® x6416RE Processor ,Intel Atom® x6214RE Processor ,Intel Atom® x7213E ,Intel Atom® x7211E ,Intel Atom® x7425E ,Intel Atom® Processor S1260 ,Intel Atom® Processor S1240 ,Intel Atom® Processor S1220 ,Intel Atom® x5-Z8500 Processor ,Intel Atom® x7-Z8700 Processor ,Intel Atom® x5-Z8300 Processor ,Intel Atom® x3-C3445 Processor ,Intel Atom® x3-C3230RK Processor ,Intel Atom® x3-C3405 Processor ,Intel Atom® x3-C3200RK Processor ,Intel Atom® x5-Z8330 Processor ,Intel Atom® x5-E8000 Processor ,Intel Atom® x5-Z8550 Processor ,Intel Atom® x5-Z8350 Processor ,Intel Atom® x7-Z8750 Processor ,Intel Atom® x3-C3235RK Processor ,Intel Atom® x3-C3205RK Processor ,Intel Atom® x5-E3940 Processor ,Intel Atom® x5-E3930 Processor ,Intel Atom® x7-E3950 Processor ,Intel Atom® x3-C3265RK Processor ,Intel Atom® x3-C3295RK Processor 
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Idle States,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,
Intel® HD Audio Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,
Intel® Image Processing Unit,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,
Intel® Smart Sound Technology,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
Intel® Wake on Voice,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
Intel® High Definition Audio,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
MIPI SoundWire*,,,,,,,,,,,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,
Instruction Set Extensions,,,,,,,,,,,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,,,,,,,,,,,,,,,,,,,,,,
Enhanced Intel SpeedStep® Technology,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,
Thermal Monitoring Technologies,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,
Intel® Identity Protection Technology ‡,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,
Intel® Turbo Boost Technology ‡,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,No,No,,
Intel® Turbo Boost Max Technology 3.0 ‡,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,
Intel® Rapid Storage Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,
Intel® Smart Connect Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,
Intel® Smart Response Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,
Intel® Virtualization Technology for Itanium (VT-i),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,

Security & Reliability
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,
Secure Key,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,
Intel® Trusted Execution Technology ‡,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,,
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,
Intel® OS Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,No,No,No,,
Intel® Boot Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,No,,,,,,Yes,Yes,Yes,,
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,
Intel® Stable Image Platform Program (SIPP),,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,No,No,No,,
Anti-Theft Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,

Networking Specifications
Baseband Functions,,,,,,,,,,,,,,,,,,,,LTE FDD/TDD; up to Cat.6 300Mbps 2CA up to 40MHz DC-HSDPA 42Mbps HSUPA 11Mbps TD-SCDMA EDGE,HSDPA 21Mbps HSUPA 5.7 Mbps,n/a - WiFi only,n/a - WiFI only,,,,,,,n/a - WiFi only,,,,,
RF Transceiver,,,,,,,,,,,,,,,,,,,,SMARTi™ 4.5s,A-GOLD 620,SMARTi™ 4.5s,n/a - WiFI only,,,,,,,,,,,,
RF Transceiver Functions,,,,,,,,,,,,,,,,,,,,Low power multimode multiband transceiver for LTE-FDD LTE-TDD 3G  2.5G  2G TD-SCDMA,Low power multimode multiband transceiver for 3G  2.5G  2G,clock,n/a - WiFi only,,,,,,,,,,,,
Protocol Stack,,,,,,,,,,,,,,,,,,,,Intel Release 10 Protocol Stack,Intel Release 9 Protocol Stack,n/a - WiFi only,n/a - WiFi only,,,,,,,,,,,,
