ARK | Intel® Product Specification Comparison
08/24/2023 09:30:25 PM
 ,Intel® Pentium® Gold Processor 4415Y ,Intel® Pentium® Gold G5600 Processor ,Intel® Pentium® Gold G5500 Processor ,Intel® Pentium® Gold G5500T Processor ,Intel® Pentium® Gold G5400T Processor ,Intel® Pentium® Gold G5400 Processor ,Intel® Pentium® Gold G5600T Processor ,Intel® Pentium® Gold G5420T Processor ,Intel® Pentium® Gold G5420 Processor ,Intel® Pentium® Gold G5620 Processor ,Intel® Pentium® Gold Processor 4417U ,Intel® Pentium® Gold 5405U Processor ,Intel® Pentium® Gold Processor 4425Y ,Intel® Pentium® Gold G7400E Processor ,Intel® Pentium® Gold G7400TE Processor ,Intel® Pentium® Gold 6405U Processor ,Intel® Pentium® Gold G6600 Processor ,Intel® Pentium® Gold G6500T Processor ,Intel® Pentium® Gold G6500 Processor ,Intel® Pentium® Gold G6400 Processor ,Intel® Pentium® Gold G6400T Processor ,Intel® Pentium® Gold G6405T Processor ,Intel® Pentium® Gold G6405 Processor ,Intel® Pentium® Gold G6505 Processor ,Intel® Pentium® Gold G6505T Processor ,Intel® Pentium® Gold G6605 Processor ,Intel® Pentium® Gold G6400TE Processor ,Intel® Pentium® Gold G6400E Processor ,Intel® Pentium® Gold 7505 Processor ,Intel® Pentium® Gold 6500Y Processor ,Intel® Pentium® Gold G7400 Processor ,Intel® Pentium® Gold G7400T Processor ,Intel® Pentium® Gold Processor 8505 ,Intel® Pentium® Gold Processor 8505 ,Intel® Pentium® Gold Processor 8500 ,Intel® Pentium® Gold Processor 4415U ,Intel® Pentium® Gold Processor 4410Y 
Sockets Supported,FCBGA1515,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCBGA1356 | FC-BGA1356,FCBGA1528,FCBGA1515,FCLGA1700,FCLGA1700,FCBGA1528,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200 | LGA1200,FCLGA1200 | LGA1200,FCBGA1449,,FCLGA1700,FCLGA1700,FCBGA1744,FCBGA1744,FCBGA1781,FCBGA1356 | FPBGA1356,FCBGA1515
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TJUNCTION,100°C,100°C,100°C,88°C,100/88°C,100°C,88°C,88°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C
Package Size,20mm X 16.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,42mm X 24mm,46x24,20mm X 16.5mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,46mm x 24mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,45.5x25,20mm X 16.5mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,50 x 25,50 x 25,28.5 x 19,42mm X 24mm,20mm X 16.5mm
Thermal Solution Specification,,PCG 2015C (65W),PCG 2015C (65W),PCG 2015A (35W),PCG 2015A (35W),PCG 2015C (65W),PCG 2015A (35W),PCG 2015A (35W),PCG 2015C (65W),PCG 2015C (65W),,,,PCG 2020C,PCG 2020D,,PCG 2015C,PCG 2015B,PCG 2015C,PCG 2015C,PCG 2015B,PCG 2015B,PCG 2015C,PCG 2015C,PCG 2015B,PCG 2015C,PCG2015B,PCG2015C,,,PCG 2020C,PCG 2020D,,,,,

Advanced Technologies
Intel® Speed Shift Technology,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Turbo Boost Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2.0,2.0,No,No,,,,No,No
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Transactional Synchronization Extensions,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,No,No,No,,,,No,,,,,,No,No
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® SSE4.1,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2
Idle States,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Flex Memory Access,Yes,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,Yes,,,Yes,Yes,No,Yes,Yes
Intel® Smart Response Technology,Yes,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes
Intel® My WiFi Technology,Yes,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes
Intel® Optane™ Memory Supported ‡,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,
Intel® Identity Protection Technology ‡,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,
Intel® Gaussian & Neural Accelerator,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,2.0,,3.0,3.0,3.0,3.0,3.0,,
Intel® Thread Director,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,,
Intel® Deep Learning Boost (Intel® DL Boost),,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,
Intel® Turbo Boost Max Technology 3.0 ‡,,,,,,,,,,,,,,No,No,,No,No,No,No,No,No,No,No,No,No,,,,,No,No,,,,,
Intel® Volume Management Device (VMD),,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,
Intel® Thermal Velocity Boost,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,
Intel® Image Processing Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,6.0,6.0,,
Intel® Smart Sound Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,
Intel® Wake on Voice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,
Intel® High Definition Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,
MIPI SoundWire*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,1.2,1.2,1.2,,
Intel® Adaptix™ Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,

Security & Reliability
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Secure Key,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,,,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,No,,,,,,,Yes with Intel® ME,Yes with Intel® ME
Intel® Memory Protection Extensions (Intel® MPX),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes
Intel® Trusted Execution Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,No,No
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® OS Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Stable IT Platform Program (SIPP),No,No,No,No,No,No,No,No,No,No,No,,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,No,No
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Boot Guard,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,
Intel® Standard Manageability (ISM) ‡,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,
Intel® Control-Flow Enforcement Technology,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,
Mode-based Execute Control (MBE),,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,
Intel® Total Memory Encryption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,
Intel® Threat Detection Technology (TDT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,
Intel® QuickAssist Software Acceleration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,
