Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime
Embedded Options Available,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
Expected Discontinuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3'2013,Q3'2013,Q3'2013,Q3'2013,,Q3'2013,,,,,,,,Q3'2012,,,,,,,Q3'2013,,,,,,,,,Q3'2013,,Q3'2013,,,
End of Servicing Updates Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,,,Tuesday |  December 31 |  2019,,,,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019

Memory Specifications
Physical Address Extensions,32-bit,32-bit,32-bit,32-bit,32-bit,,32-bit,32-bit,32-bit,,32-bit,32-bit,,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,,,,,32-bit,32-bit,,32-bit,32-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36-bit,,36-bit,36-bit,36-bit,36-bit,36-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECC Memory Supported   ‡,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,No,Yes,No,,,,,,,,,No,Yes,Yes,Yes,No,,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,Yes,,No,,No,Yes,
Max Memory Size (dependent on memory type),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 GB,,8 GB,8 GB,8 GB,8 GB,8 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,,,16.6 GB,16.6 GB,16.6 GB,16.6 GB,16 GB,32 GB,16 GB,16 GB,16 GB,16 GB,16 GB,4.88 GB,32 GB,16 GB,16 GB,16 GB,16 GB,16 GB,16 GB,16 GB,16 GB,32 GB,16 GB,32 GB,16 GB,16 GB,32 GB
Memory Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR3 800/1066,DDR3 800,DDR3 800/1066,DDR3 800,DDR3 800,DDR3 800/1066,DDR3 800/1066,DDR3 1066,DDR3 1066,DDR3 1066,DDR3 1066,DDR3 1066,DDR3 1066,,,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066/1333,DDR3 1066,DDR3 1066/1333,DDR3 1066,DDR3 1066/1333,DDR3/DDR3L 1333/1600,DDR3 1066/1333
Max # of Memory Channels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
Max Memory Bandwidth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1 GB/s,,17.1 GB/s,12.8 GB/s,12.8 GB/s,17.1 GB/s,17.1 GB/s,17 GB/s,17 GB/s,17 GB/s,17 GB/s,17 GB/s,17 GB/s,,,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,17 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,,17 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,21.3 GB/s,17 GB/s,21.3 GB/s,17 GB/s,21.3 GB/s,25.6 GB/s,17 GB/s

Package Specifications
Sockets Supported,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PLGA478 | PLGA775 | PPGA478,PLGA775,PLGA478 | PLGA775,PPGA478,PPGA478,PLGA478 | PLGA775,PPGA478,PLGA478 | PLGA775 | PPGA478,PLGA478 | PLGA775,PPGA478,PLGA478 | PLGA775 | PPGA478,PLGA478 | PLGA775,PPGA478,PLGA478 | PLGA775 | PPGA478,PPGA478,PLGA478 | PLGA775 | PPGA478,PLGA478 | PLGA775,PLGA775,PLGA775,LGA775 | PLGA775,PLGA775,H-PBGA478 | H-PBGA479 | PPGA478,H-PBGA478 | H-PBGA479 | PPGA478,PBGA479 | PPGA478,H-PBGA479,PBGA479,PPGA478,PPGA478,PPGA478,PPGA370 | SEPP242 | SEPP540,PPGA370 | SEPP220 | SEPP242,PPGA370 | SEPP242 | SEPP540,PPGA370,H-PBGA495 | PPGA370,PPGA370,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,H-PBGA479,PLGA775,LGA775 | PLGA775,PPGA478,PBGA479 | PPGA478,LGA775,LGA775,LGA775,PPGA478,,PPGA478,PBGA479 | PPGA478,,PGA478 | PPGA478,PBGA479,PPGA478,LGA775,LGA775,LGA775,LGA775,LGA775,PPGA478,PPGA478,PPGA478,BGA956,BGA956,PPGA478,BGA956,H-PBGA479,BGA479 | PGA478,PPGA478,PBGA479,PGA478,PGA478,LGA775,LGA775,LGA775,LGA775,BGA956,PGA478,PGA988,FCLGA1366,BGA1288,BGA1288,BGA1288,BGA1288,PGA988,FCLGA1155,FCLGA1155,FCLGA1155,FCLGA1155,FCLGA1155,FCLGA1155,BGA956,,PGA988,FCBGA1023,BGA1023 | FCBGA1023,BGA1023 | FCBGA1023,FCBGA1023,FCLGA1155,PGA988 | PPGA988,FCPGA988,FCBGA1023,FCBGA1023,FCPGA988 | PGA988,FCBGA1023,FCLGA1155,,,FCPGA988 | PGA988,,FCBGA1023,FCPGA988 | PGA988,FCBGA1023,FCBGA1284,FCLGA1155,FCBGA1023,FCLGA1155,FCPGA988 | PGA988,FCBGA1023,FCLGA1155
TCASE,67°C,67°C,67°C,67°C,67°C,67.7°C,67.7°C,67.7°C,67°C,67°C,67.7°C,67°C,67°C,67.7°C,67°C,67.7°C,67.7°C,67°C,67.7°C,67°C,67°C,67.7°C,69.2°C,67.7°C,C1=69.2°C; D0=64.4°C,64.4°C,,,,,,76°C,68°C,72°C,85°C,85°C,85°C,90°C,80°C,80°C,,,,,,,,C1=69.2°C; D0=64.4°C,64.4°C,100°C,,60.4°C,60.4°C,60.4°C,100°C,100°C,100°C,,100°C,100°C,,100°C,73.3°C,73.3°C,73.3°C,73.3°C,60.4°C,,100°C,100°C,,,,,,105°C,,,105°C,,74.1°C,74.1°C,74.1°C,74.1°C,,,,64.4°C,,,,,,69.1°C,65.0°C,69.1°C,65.0°C,69.1°C,65.0°C,,105°C,,,,,,65.5°C,,,,,,,65.5°C,,,,,,,,,69.1°C,,65.5°C,,,65.5°C
Package Size,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,,37.5mm x 37.5mm,35mm x 35mm,,37.5mm x 37.5mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,49mm x 49mm,49mm x 49mm,49mm x 49mm,49mm x 49mm,49mm x 49mm,49mm x 49mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,31mm x 31mm,31mm x 31mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,22mm x 22mm,22mm x 22mm,35mm x 35mm,22mm x 22mm,,35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,,,,,37.5mm X 37.5mm,22mm x 22mm,,37.5mmx37.5mm,,BGA 34mmX28mm,BGA 34mm x 28mm,BGA 34mm x 28mm,BGA 34mmX28mm,37.5mmx37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,22mm x 22mm,35mm x 35mm,37.5mmx37.5mm (rPGA988B),31mm x 24mm (FCBGA1023),31mm x 24mm (FCBGA1023),31mm x 24mm (FCBGA1023),31.0mm x 24.0mm (BGA1023),37.5mm x 37.5mm,37.5mmx37.5mm (rPGA988B),37.5mmx37.5mm (rPGA988B),31.0mm x 24.0mm (BGA1023),31.0mm x 24.0mm (BGA1023),37.5mm x 37.5mm (rPGA988B),31mm x 24mm (FCBGA1023),37.5mm x 37.5mm,31.0mm x 24.0mm (BGA1023),31.0mm x 24.0mm (BGA1023),37.5mmx37.5mm (rPGA988B),37.5mmx37.5mm (rPGA988B),31.0mm x 24.0mm (BGA1023),37.5mmx37.5mm (rPGA988B),31.0mm x 24.0mm (BGA1023),37.5mm x 37.5mm,37.5mm x 37.5mm,31.0mm x 24.0mm (BGA1023),37.5mm x 37.5mm,37.5mmx37.5mm (rPGA988B),BGA1023 31mm x 24mm,37.5mm x 37.5mm
Processing Die Size,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,81 mm2,112 mm2,81 mm2,81 mm2,83 mm2,87 mm2,90 mm2,87 mm2,90 mm2,131 mm2,131 mm2,131 mm2,154 mm2,154 mm2,154 mm2,90 mm2,90 mm2,90 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,80 mm2,81 mm2,81 mm2,143 mm2,143 mm2,77 mm2,77 mm2,77 mm2,90 mm2,90 mm2,143 mm2,143 mm2,143 mm2,143 mm2,77 mm2,143 mm2,77 mm2,77 mm2,77 mm2,77 mm2,77 mm2,143 mm2,143 mm2,143 mm2,107 mm2,107 mm2,143 mm2,107 mm2,83 mm2,107 mm2,143 mm2,143 mm2,107 mm2,107 mm2,,,,,107 mm2,107 mm2,81 mm2,,81 mm2,81 mm2,81 mm2,81 mm2,81 mm2,,,,,,,107 mm2,107 mm2,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Processing Die Transistors,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,188 million,125 million,188 million,188 million,77 million,144 million,151 million,144 million,151 million,55 million,55 million,55 million,19 million,19 million,19 million,28 million,28 million,28 million,55 million,55 million,55 million,55 million,55 million,55 million,44 million,188 million,188 million,291 million,291 million,105 million,105 million,105 million,151 million,151 million,291 million,291 million,291 million,291 million,105 million,291 million,105 million,105 million,105 million,105 million,105 million,291 million,291 million,291 million,410 million,410 million,291 million,410 million,77 million,410 million,291 million,291 million,410 million,410 million,,,,,410 million,410 million,382 million,,382 million,382 million,382 million,382 million,382 million,,,,,,,410 million,410 million,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,100°C,100°C,100°C,100°C,100°C,,,,,,,,,,100°C,100°C,100°C,100°C,100°C,100°C,100°C,,,100°C,100°C,,,,,,100°C,100°C,,100°C,100°C,100°C,,,,,,,,,105°C,105°C,100°C,100°C,100°C,,100°C,100°C,,,,,,,100°C,,90°C,,90°C,105°C,105°C,90°C,90°C,,,,,,,100°C,,100C,100,100,100,100,,100C,100C,100C,100,100C,100°C,,100C,100C,100C,100C,100C,100C,100C,100°C,,100C,,100C,105,
Max CPU Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Intel® Hyper-Threading Technology ‡,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,,No,,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
Intel® Virtualization Technology (VT-x) ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,No,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
Intel® 64 ‡,No,No,No,No,No,Yes,No,Yes,No,,No,No,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,32-bit,32-bit,32-bit,32-bit,32-bit,64-bit,32-bit,64-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,64-bit,32-bit,32-bit,32-bit,32-bit,64-bit,64-bit,64-bit,64-bit,64-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,32-bit,32-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,32-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,64-bit
Idle States,No,No,No,No,No,,Yes,Yes,No,,Yes,No,,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,Yes,,,,,No,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
Enhanced Intel SpeedStep® Technology,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Demand Based Switching,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,No,No,No,No,No,No,,No,No,No,No,No,No,No,,,No,,No,No,
Thermal Monitoring Technologies,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,No,,No,No,No,No,No,,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
Intel® Optane™ Memory Supported ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,,,,,,No,,,,,,,No,,,,,,,,,No,,No,,,No
Instruction Set Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3,,,,,,,,,,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,,,Intel® SSE4.1 |  Intel® SSE4.2,,,,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,,,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,Intel® SSE4.1 |  Intel® SSE4.2,,Intel® SSE4.1 |  Intel® SSE4.2
Intel® Fast Memory Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Flex Memory Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® My WiFi Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,,,,,No,Yes,No,,No,No,No,No,No,No,No,,,No,,No,No,
