ARK | Intel® Product Specification Comparison
08/24/2023 09:43:54 PM
 ,Intel® Xeon® W-2123 Processor ,Intel® Xeon® W-2133 Processor ,Intel® Xeon® W-2155 Processor ,Intel® Xeon® W-2145 Processor ,Intel® Xeon® W-2125 Processor ,Intel® Xeon® W-2135 Processor ,Intel® Xeon® W-2195 Processor ,Intel® Xeon® W-2175 Processor ,Intel® Xeon® W-3175X Processor ,Intel® Xeon® W-3223 Processor ,Intel® Xeon® W-3265 Processor ,Intel® Xeon® W-3225 Processor ,Intel® Xeon® W-3235 Processor ,Intel® Xeon® W-3265M Processor ,Intel® Xeon® W-3245M Processor ,Intel® Xeon® W-3275 Processor ,Intel® Xeon® W-3245 Processor ,Intel® Xeon® W-3275M Processor ,Intel® Xeon® W-2275 Processor ,Intel® Xeon® W-2295 Processor ,Intel® Xeon® W-2265 Processor ,Intel® Xeon® W-2255 Processor ,Intel® Xeon® W-2223 Processor ,Intel® Xeon® W-2235 Processor ,Intel® Xeon® W-2245 Processor ,Intel® Xeon® W-2225 Processor ,Intel® Xeon® W-1250 Processor ,Intel® Xeon® W-1290P Processor ,Intel® Xeon® W-1290 Processor ,Intel® Xeon® W-1270P Processor ,Intel® Xeon® W-1270 Processor ,Intel® Xeon® W-1250P Processor ,Intel® Xeon® W-1290T Processor ,Intel® Xeon® W-10855M Processor ,Intel® Xeon® W-10885M Processor ,Intel® Xeon® W-1250E Processor ,Intel® Xeon® W-1250TE Processor ,Intel® Xeon® W-1290E Processor ,Intel® Xeon® W-1270E Processor ,Intel® Xeon® W-1270TE Processor ,Intel® Xeon® W-1290TE Processor ,Intel® Xeon® W-1350 Processor ,Intel® Xeon® W-1350P Processor ,Intel® Xeon® W-1370 Processor ,Intel® Xeon® W-1370P Processor ,Intel® Xeon® W-1390 Processor ,Intel® Xeon® W-1390P Processor ,Intel® Xeon® W-1390T Processor ,Intel® Xeon® W-11955M Processor ,Intel® Xeon® W-11855M Processor ,Intel® Xeon® W-3365 Processor ,Intel® Xeon® W-3335 Processor ,Intel® Xeon® W-3345 Processor ,Intel® Xeon® W-3375 Processor ,Intel® Xeon® W-3323 Processor ,Intel® Xeon® W-11865MRE Processor ,Intel® Xeon® W-11865MLE Processor ,Intel® Xeon® W-11155MLE Processor ,Intel® Xeon® W-11555MRE Processor ,Intel® Xeon® W-11555MLE Processor ,Intel® Xeon® W-11155MRE Processor ,Intel® Xeon® w5-2465X Processor ,Intel® Xeon® w7-3465X Processor ,Intel® Xeon® w7-2475X Processor ,Intel® Xeon® w9-3475X Processor ,Intel® Xeon® w5-2455X Processor ,Intel® Xeon® w5-3435X Processor ,Intel® Xeon® w7-3445 Processor ,Intel® Xeon® w7-3455 Processor ,Intel® Xeon® w3-2435 Processor ,Intel® Xeon® w5-2445 Processor ,Intel® Xeon® w5-3425 Processor ,Intel® Xeon® w9-3495X Processor ,Intel® Xeon® w3-2423 Processor ,Intel® Xeon® w3-2425 Processor 
Memory Types,DDR4 1600/1866/2133/2400/2666,DDR4 1600/1866/2133/2400/2666,DDR4 1600/1866/2133/2400/2666,DDR4 1600/1866/2133/2400/2666,DDR4 1600/1866/2133/2400/2666,DDR4 1600/1866/2133/2400/2666,DDR4 1600/1866/2133/2400/2666,DDR4 1600/1866/2133/2400/2666,DDR4-2666,DDR4-2666,DDR4-2933,DDR4-2666,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4 2933,DDR4 2933,DDR4 2933,DDR4 2933,DDR4 2666,DDR4 2933,DDR4 2933,DDR4 2933,DDR4-2666,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2666,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2666,DDR4-2666,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,Up to 3200 MT/s,Up to 3200 MT/s,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR5-4800 (MT/s),DDR5-4800 (MT/s),DDR5-4800 (MT/s),DDR5-4800 (MT/s),DDR5-4800 (MT/s),DDR5-4800 (MT/s),DDR5-4800 (MT/s),DDR5-4800 (MT/s),DDR5-4400 (MT/s),DDR5-4800 (MT/s),DDR5-4800 (MT/s),DDR5-4800 (MT/s),DDR5-4400 (MT/s),DDR5-4400 (MT/s)
Max # of Memory Channels,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,2,2,2,2,2,2,4,8,4,8,4,8,8,8,4,4,8,8,4,4
Max Memory Bandwidth,85.3 GB/s,85.3 GB/s,85.3 GB/s,85.3 GB/s,85.3 GB/s,85.3 GB/s,85.3 GB/s,85.3 GB/s,,,,,,,,,,,93.85 GB/s,93.85 GB/s,93.85 GB/s,93.85 GB/s,85.3 GB/s,93.85 GB/s,93.85 GB/s,93.85 GB/s,41.6 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,41.6 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,41.6 GB/s,41.6 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,50 GB/s,50 GB/s,50 GB/s,50 GB/s,50 GB/s,50 GB/s,50 GB/s,51.2 GB/s,51.2 GB/s,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Address Extensions,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,,,,,,,,,,,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,46-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maximum Memory Speed,,,,,,,,,2666 MHz,2666 MHz,2933 MHz,2666 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200 MHz,3200 MHz,3200 MHz,3200 MHz,3200 MHz,,,,,,,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4400 MHz,4800 MHz,4800 MHz,4800 MHz,4400 MHz,4400 MHz
Intel® Optane™ DC Persistent Memory Supported,,,,,,,,,,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No

Expansion Options
Scalability,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,1S Only,1S Only,1S Only,1S Only,1S Only,,,,,,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4,4,4,4,4,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
PCI Express Configurations ‡,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,,,,,,,,,,,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,,,,,,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,,,,,,,,,,,,,,
Max # of PCI Express Lanes,48,48,48,48,48,48,48,48,48,64,64,64,64,64,64,64,64,64,48,48,48,48,48,48,48,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,64,64,64,64,64,20,20,20,20,20,20,64,112,64,112,64,112,112,112,64,64,112,112,64,64
Intel® Thunderbolt™ 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
Microprocessor PCIe Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 4,Gen 4,,,,,,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,,,,,,,,,,,,,,
Chipset / PCH PCIe Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 3,Gen 3,,,,,,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,,,,,,,,,,,,,,
Direct Media Interface (DMI) Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Max # of DMI Lanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,

Package Specifications
Sockets Supported,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA3647,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCBGA1440,FCBGA1440,FCLGA1200 | LGA1200,FCLGA1200 | LGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCBGA1787,FCBGA1787,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCLGA4189,FCBGA1787,FCBGA1787,FCBGA1787,FCBGA1787,FCBGA1787,FCBGA1787,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677
Max CPU Configuration,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TCASE,65,65,68,70,64,64,66,,70°C,68°C,78°C,68°C,72°C,78°C,77°C,76°C,77°C,76°C,62°C,61°C,61°C,62°C,64°C,64°C,59°C,61°C,,,,,,,,,,,,,,,,,,,,,,,,,77°C,68°C,73°C,80°C,68°C,,,,,,,78,75,76,74,77,72,72,72,70,72,72,81°C,62,64
Package Size,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,76.0mm x 56.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,45mm x 52.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,42mm x 28mm,42mm x 28mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,50 x 26.5,50 x 26.5,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,50 x 26.5,50 x 26.5,50 x 26.5,50 x 26.5,50 x 26.5,50 x 26.5,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm
TJUNCTION,,,,,,,,,85°C,,,,,,,,,,,,,,,,,,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,,,,,,100°C,100°C,100°C,100°C,100°C,100°C,,,,,,,,,,,,,,
Thermal Solution Specification,,,,,,,,,,,,,,,,,,,,,,,,,,,PCG 2015W,PCG 2015D,PCG 2015W,PCG 2015D,PCG 2015W,PCG 2015D,PCG 2015B,,,PCG 2015W,PCG 2015B,PCG 2015W,PCG 2015W,PCG 2015B,PCG 2015B,PCG 2019B,PCG 2019A,PCG 2019B,PCG 2019A,PCG 2019B,PCG 2019A,PCG 2019D,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Thermal Velocity Boost Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 °C,70 °C,,,,,,,,,,,,,,,,,70 °C,70 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Temperature (Maximum),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,,,,,,,,,,,,,,
Operating Temperature (Minimum),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40 °C,0 °C,0 °C,-40 °C,0 °C,-40 °C,,,,,,,,,,,,,,
Package Carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1B,E1A,E1B,E1A,E1B,E1A,E1A,E1A,E1B,E1B,E1A,E1A,E1B,E1B
DTS Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95 °C,97 °C,94 °C,95 °C,100 °C,98 °C,94 °C,92 °C,94 °C,94 °C,103 °C,99 °C,74 °C,83 °C

Advanced Technologies
Intel® Optane™ Memory Supported ‡,No,No,No,No,No,No,No,No,No,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Speed Shift Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Turbo Boost Max Technology 3.0 ‡,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Transactional Synchronization Extensions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,,,,,,,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
